StartUp Name;Localização HQ (Ilha);Core Business;Website;Descrição;Modelo Negócio;Stage/Type;Powerd by CVD
STEM Center;Santiago;Data, IT Consulting;www.stem.cv;Cape Verdean STEM Society (CSS) is a nonprofit organization dedicated to contributing to the advancement of the STEM fields in Cabo Verde.;b2b2g;Early Stage;GoGlobal, Dreams & Demos
JSMedia lda;Santiago;IT Consulting;https://jsmedia.cv;JSmedia Lda é uma empresa cabo-verdiana fundada em 2015 que opera na área do Design Multimédia e Desenvolvimento de Aplicações Web e Mobile;b2b2c;Early Stage;GoGlobal, Dreams & Demos
Platum;Santiago;Saas;https://platum.io;Uma empresa de consultoria de software que ajuda organizações de qualquer tamanho em sua jornada de inovação com ferramentas e / ou expertise de ponta;b2b;Startup;GoGlobal
DevTrust Consulting;Santiago;IT Consulting;www.devtrust.cv;Empresa de consultoria estratégica, especializada no apoio a organizações na identificação e implementação de tecnologias e sistemas de informação… Ver mais;b2b2g;Startup;
Smart City Foundation;Santiago;IoT, IT Consulting;http://www.smartcity.org.cv/;Promovemos o desenvolvimento de cidades inteligentes por meio de Pesquisa e desenvolvimento de soluções, incubação de ideias e eventos;b2b2g;Incubator;BCVD, Dreams & Demos
Zing Developers;Santiago;IT Consulting;http://www.zingdevelopers.com/;A Zing Developers é uma empresa com vocação para as TIC, composta por jovens dotados de humildade, com uma visão de inovação, compromisso e sentido de responsabilidade.;b2b2g;Growth;
Sintaxy;Santiago;IT Consulting;http://www.sintaxy.com/;A SINTAXY Lda é desde 2013, uma empresa especializada no desenvolvimento de software, comercialização e suporte de soluções de TI.;b2b2g;Startup;BCVD, Dreams & Demos, GoGlobal
Djuntu vendas online;São Vicente;e-Commerce/Delivery;https://www.djuntu.com;Djuntu Cabo Verde Vendas Online Entrega ao Domicílio em 48h O 1º marketplace em Cabo Verde;b2c, b2b;Pré-seed;Dreams & Demos
Chuva;São Vicente;IT Consulting;https://chuva.io/;Aqui na Chuva, nosso objetivo é fornecer software de alta qualidade para o mundo. Trabalhamos com nossos clientes desde a concepção e planejamento, design, desenvolvimento e teste, até a manutenção e suporte. Enquanto outras empresas de consultoria economizam e entregam um trabalho difícil de manter e melhorar com o tempo, nós, da Chuva, nos concentramos em software de qualidade que estabelecerá a base de seu negócio.;b2b2g;Growth;GoGlobal, Kode Verde
Opentec;Santiago;IT Consulting;http://www.opentec.cv/;A OPENTEC é uma empresa sediada na cidade da Praia. Atua na área de tecnologias de informação e comunicação, apoiada por uma equipe qualificada, dinâmica, dedicada e comprometida com a geração de valor para seus clientes.;b2b;Startup;
SilFer Bots;Santiago;Saas;https://silferbots.io;SilFer Bots é uma nova plataforma que permite criar chatbots para o Facebook Messenger. Automatize vendas, marketing e suporte no Facebook. Aumente sua receita enquanto reduz seus custos com bots do Messenger.;b2b2c;Startup;
B.Systems, LDA;São Vicente;IT Consulting;https://bsystems.cv/;Consultoria em Software de Gestão PRIMAVERA BUSINESS SOFTWARE, SOFTWARE PARA HOTÉIS, Sistemas Electrónicos de Segurança, Centros IP, Sistemas IPTV.;b2b;Startup;
iMedia Innovative Media;Santiago;Creative Industry;innovatmedia.com;Somos uma empresa que atua em três áreas: - Engenharia de Software - Multimídia - Marketing Digital Buscamos agregar valor às empresas por meio de soluções inovadoras.;b2b2c;Early Stage;GoGlobal, BCVD
Innova Business;Santiago;e-Commerce/Delivery;http://www.innovabusiness.cv/;Somos uma empresa jovem, criativa e dinâmica, trazendo soluções inovadoras para o mercado de Cabo Verde e aproveitamos a nossa expertise em marketing de conteúdo e viralização para fazer crescer o nosso negócio.;b2b2c;Early Stage;BCVD, Dreams & Demos
SmartSolution;Santiago;Saas;http://www.smartsolutions.cv ;Smart Solutions é uma StartUP com foco em inovação, voltada para o Desenvolvimento de Software e implementação de soluções de telecomunicações.;b2b2c;Early Stage;BCVD, GoGlobal
Kalua Films;Santiago;Creative Industry;;Criamos filmes e gravamos momentos eternos. Paixão pelo que fazemos, dedicação e um pouco de diversão ao longo do caminho.;b2b;Startup;BCVD
Enterstarts;Santiago;Saas;https://enterstarts.com/;Enterstarts permite que empreendedores, pequenas e médias empresas criem e administrem operações comerciais online eficientes, produtivas e lucrativas.;b2b;Pré-seed;BCVD
Casas Morabeza;Santiago;Travel, Turismo & Experiences;https://www.casasmorabeza.com/;Através de uma plataforma informática,o hóspede poderá encontrar uma oferta de diversas casas, com menus e preços variados e num ambiente caseiro onde poderá desfrutar da rica gastronomia tradicional de Cabo Verde, junto a uma família nacional.;b2b2c;Pré-seed;BCVD, Dreams & Demos, GoGlobal
iDeia Cabo Verde;Santiago;IT Consulting;https://www.ideia.cv/;Design e Desenvolvimento de Software Design Gráfico Web Design Mobile Design Desenvolvimento de Software Aplicação Web Website;b2b2c;Startup;
